_id	id	fuel_id	phev_type	light_duty_fuel_configuration_id	light_duty_manufacturer_id	light_duty_category_id	model	model_year	photo_url	electric_range	total_range	transmission_type	engine_type	engine_size	engine_cylinder_count	engine_description	notes	manufacturer_name	manufacturer_url	fuel_code	fuel_name	light_duty_fuel_configuration_name	category_name	alternative_fuel_economy_combined	conventional_fuel_economy_combined	fuel_economy_estimated_by_manufacturer	drivetrain	charging_rate_level_2	charging_rate_dc_fast	charging_speed_level_1	charging_speed_level_2	charging_speed_dc_fast	battery_voltage	battery_capacity_amp_hours	battery_capacity_kwh	seating_capacity	alternative_fuel_economy_city	alternative_fuel_economy_highway	conventional_fuel_economy_city	conventional_fuel_economy_highway	light_duty_emission_certifications
656fa0b500da217b6e1aeee5	13532	57	Blended	9.0	490	29	Tonale eAWD	2024	https://afdc.energy.gov/vehicles/search/files/u/light_autos/photos/13532/photo_upload/9fd7944474676ff1eff83651b38ed226.jpg?9db0992ec3	33	360	Auto	SI	1.3L	4.0	"1.3L I4;
89 kW electric motor"		Alfa Romeo		PHEV	Plug-in Hybrid Electric	Hybrid Electric	SUV	77	29	False	AWD						304.0	51.0	15.0				29	29	[]
656fa0b500da217b6e1aeee6	13483	45		9.0	377	27	A3	2024	https://afdc.energy.gov/vehicles/search/files/u/light_autos/photos/13483/photo_upload/5b6d8ea7fbd476ba7117b8c04b4750cd.jpg?fb4483c206			Auto	SI	2.0L	4.0	2.0L I4		Audi	http://progress.audiusa.com/	HYBR	Hybrid Electric	Hybrid Electric	Sedan/Wagon		32	False	FWD						nan	nan	nan				29	37	[]
656fa0b500da217b6e1aeee7	13482	45		9.0	377	27	A3 quattro	2024	https://afdc.energy.gov/vehicles/search/files/u/light_autos/photos/13482/photo_upload/c674599764450910aa14b20ebc5eb40b.jpg?fb4483c206			Auto	SI	2.0L	4.0	2.0L I4		Audi	http://progress.audiusa.com/	HYBR	Hybrid Electric	Hybrid Electric	Sedan/Wagon		30	False	AWD						nan	nan	nan				27	34	[]
656fa0b500da217b6e1aeee8	13347	45		9.0	377	27	A4 quattro/S-Line/Allroad	2024	https://afdc.energy.gov/vehicles/search/files/u/light_autos/photos/13347/photo_upload/ab80369a1358b77c8f7f955477e0090f.jpg?b2c2dce360			Auto	SI	2.0L	4.0	2.0L I4	Includes Allroad and S-Line models	Audi	http://progress.audiusa.com/	HYBR	Hybrid Electric	Hybrid Electric	Sedan/Wagon		27-30	False	AWD						nan	nan	nan						[]
656fa0b500da217b6e1aeee9	13348	45		9.0	377	27	A5 quattro Coupe/Cabriolet/Sportback	2024	https://afdc.energy.gov/vehicles/search/files/u/light_autos/photos/13348/photo_upload/3c9d5b693c7b7a1e047e7591caa29f9d.jpg?0e4c885a5f			Auto	SI	2.0L	4.0	2.0L I4	Includes Coupe, Cabriolet, and Sportback models	Audi	http://progress.audiusa.com/	HYBR	Hybrid Electric	Hybrid Electric	Sedan/Wagon		27-30	False	AWD						nan	nan	nan						[]
656fa0b500da217b6e1aeeea	13484	45		9.0	377	27	A6 quattro	2024	https://afdc.energy.gov/vehicles/search/files/u/light_autos/photos/13484/photo_upload/8bc7fbe724424c90fde2c3068a9eb6db.jpg?295cb3afb8			Auto	SI	2.0L	4.0	2.0L I4		Audi	http://progress.audiusa.com/	HYBR	Hybrid Electric	Hybrid Electric	Sedan/Wagon		26	False	AWD						nan	nan	nan				23	33	[]
656fa0b500da217b6e1aeeeb	13485	45		9.0	377	27	A6 quattro/Allroad	2024	https://afdc.energy.gov/vehicles/search/files/u/light_autos/photos/13485/photo_upload/df8857566e15f583d1e978ad55c7d455.jpg?2e77c544ea			Auto	SI	3.0L	6.0	3.0L V6		Audi	http://progress.audiusa.com/	HYBR	Hybrid Electric	Hybrid Electric	Sedan/Wagon		25	False	AWD						nan	nan	nan				22	30	[]
656fa0b500da217b6e1aeeec	13487	45		9.0	377	27	A7 quattro	2024	https://afdc.energy.gov/vehicles/search/files/u/light_autos/photos/13487/photo_upload/4b944e8ab5a97f235749017cdecfb5dd.jpg?dee6c38f92			Auto	SI	3.0L	6.0	3.0L V6		Audi	http://progress.audiusa.com/	HYBR	Hybrid Electric	Hybrid Electric	Sedan/Wagon		25	False	AWD						nan	nan	nan				22	30	[]
656fa0b500da217b6e1aeeed	13486	45		9.0	377	27	A8 quattro	2024	https://afdc.energy.gov/vehicles/search/files/u/light_autos/photos/13486/photo_upload/657f30282a5a3308586a9fde59b3069e.jpg?626ba44e7e			Auto	SI	3.0L	6.0	3.0L V6		Audi	http://progress.audiusa.com/	HYBR	Hybrid Electric	Hybrid Electric	Sedan/Wagon		22	False	AWD						nan	nan	nan				19	28	[]
656fa0b500da217b6e1aeeee	13421	41		1.0	377	27	e-tron GT/RS e-tron GT	2024	https://afdc.energy.gov/vehicles/search/files/u/light_autos/photos/13421/photo_upload/4a8333a3c0488a801c5d4fab083469d2.jpg?644eaa6a74	249		Auto	e-motor	175 kW and 320 or 335 kW	nan	175 kW and 320 or 335 kW electric motors		Audi	http://progress.audiusa.com/	ELEC	Electric	Dedicated	Sedan/Wagon	85		False	AWD	9.6	270	3	23	292	723.0	129.0	93.0	5					[]
